<Eugénie-3301>_1,<le père-2169>_2,<monsieur Grandet-943>_3,<Grandet au Tribunal de Première Instance-2317>_4,<Eugénie-1205>_5,<Eugénie et sa mère-1499>_6,<Eugénie-1353>_7,<un homme-191>_8,<l'-2932>_9
<Eugénie-3301>,<lui-2132>,<un grigou-944>,<un tailleur de Saumur-2323>,<Eugénie-1205>,<Charles-1473>,<Il-1350>,<un homme-191>,<Eugénie-2902>
<Eugénie-3301>,<lui-2132>,<monsieur Grandet-943>,<un tailleur de Saumur-2323>,<Eugénie-1205>,<des morts-1501>,<Il-1350>,<un homme-191>,<l'-2932>
<Charles-3249>,<un enfant-2168>,<Charles-920>,<Charles-2316>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Eugénie-1353>,<un homme-191>,<Eugénie-2902>
<Des Grassins-3288>,<un enfant-2168>,<une dévote-945>,<Charles-2316>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Eugénie-1353>,<un homme-191>,<Eugénie-2902>
<Eugénie-3301>,<le père-2169>,<une dévote-945>,<Grandet au Tribunal de Première Instance-2317>,<Eugénie-1205>,<Grandet-1486>,<Eugénie-1353>,<un astronome-192>,<Monsieur Bergerin-2927>
<Eugénie-3301>,<lui-2132>,<Charles-920>,<Charles-2316>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Nanon-1356>,<un homme-191>,<Eugénie-2902>
<Eugénie-3301>,<leur-2170>,<une petite sotte-946>,<un homme-2325>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Il-1350>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<le père-2169>,<une petite sotte-946>,<un homme-2325>,<Eugénie-1205>,<leurs-1500>,<Il-1350>,<un homme-191>,<Eugénie-2902>
<Eugénie-3301>,<le père-2169>,<une petite sotte-946>,<un homme-2325>,<son-1210>,<leurs-1500>,<Monsieur Grandet-1333>,<monsieur Grandet-112>,<Eugénie-2902>
<Eugénie-3301>,<lui-2132>,<une petite sotte-946>,<Charles-2316>,<Eugénie-1205>,<Charles-1473>,<Il-1350>,<monsieur Grandet-112>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<une petite sotte-946>,<Grandet au Tribunal de Première Instance-2317>,<Eugénie-1205>,<Charles-1473>,<Il-1350>,<un homme-191>,<Eugénie-2902>
<Des Grassins-3288>,<lui-2132>,<une dévote-945>,<Charles-2316>,<Eugénie-1205>,<des morts-1501>,<Eugénie-1353>,<un homme-191>,<Eugénie-2902>
<Eugénie-3301>,<lui-2132>,<une dévote-945>,<Charles-2316>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Eugénie-1353>,<un homme-191>,<la mère-2935>
<Eugénie-3301>,<lui-2132>,<Charles-920>,<Grandet au Tribunal de Première Instance-2317>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Il-1350>,<un homme-191>,<la fille étonnées-2936>
<Eugénie-3301>,<lui-2132>,<une petite sotte-946>,<Grandet au Tribunal de Première Instance-2317>,<un auteur de bonne foi-1214>,<Eugénie et sa mère-1499>,<Il-1350>,<un homme-191>,<la mère-2935>
<Eugénie-3301>,<lui-2132>,<une petite sotte-946>,<Charles-2316>,<son-1210>,<Eugénie et sa mère-1499>,<Il-1350>,<un astronome-192>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<une petite sotte-946>,<Charles-2316>,<Eugénie-1205>,<Charles-1473>,<Eugénie-1353>,<un homme-191>,<Eugénie-2902>
<Eugénie-3301>,<lui-2132>,<une petite sotte-946>,<Charles-2316>,<Eugénie-1205>,<Charles-1473>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<une petite sotte-946>,<Charles-2316>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Eugénie-1353>,<un homme-191>,<Eugénie-2902>
